Candidate_ID,Gender,Race,Age,Education,Experience_Years,Job_Role_Applied,Skills,Certifications,Screening_Score,Selected
mostly7c-7303-4c58-ae7f-daa7abd2d4fb,Female,White,34,Bachelor,5,Sales Executive,"AWS, SQL, Git",None,73.4,No
mostly4c-74d6-4c6e-9325-6f5a219a9611,Male,Hispanic,20,Master,22,HR Manager,"CRM, Negotiation, Presentation",None,73.8,No
mostly96-73ba-49cf-ae91-a5a937f44942,Male,White,28,Master,14,Software Engineer,"SQL, Statistics, Machine Learning",AWS,50.1,No
mostly21-e3b7-483b-836e-0eadaf4ed891,Non-binary,Other,21,High School,2,Data Scientist,"HR Policies, Leadership, Communication",Scrum Master,78.9,No
mostlyca-319c-4fad-b13a-0add5bf1ad7c,Male,Hispanic,56,Bachelor,16,Project Manager,"Budgeting, Leadership, Scrum",AWS,100.7,No
mostlybf-6d66-4b22-a082-9ea6cb4bdc93,Male,White,37,Bachelor,24,Software Engineer,_RARE_,None,76.8,Yes
mostlyb8-18ed-4ee4-a83c-96def69ef75a,Female,White,23,PhD,3,Data Scientist,"Networking, Negotiation, Presentation",Scrum Master,121.5,No
mostlyf5-f93c-4651-90ba-187d45fe4b7a,Female,Asian,37,Master,4,Sales Executive,"Python, SQL, R",None,121.2,No
mostlyad-1a7f-4faf-a5e1-89b037129aa2,Male,White,23,PhD,4,Software Engineer,_RARE_,None,85.3,Yes
mostlycd-6a09-4741-bd7d-9d90b1446953,Male,White,36,Bachelor,4,Sales Executive,"Agile, Scrum, Budgeting",Scrum Master,76.0,Yes
mostly77-1bf7-47d5-b6e5-7ad98d5e0028,Male,White,48,Bachelor,0,Software Engineer,"SQL, Java, Python",None,49.7,Yes
mostly1c-cfaa-485d-b515-8e2c55717735,Female,Hispanic,36,Bachelor,7,Project Manager,"Cold Calling, Negotiation, Presentation",None,115.6,No
mostlyba-46b8-48f3-9514-338f26b5bef4,Female,White,25,Master,0,HR Manager,"Negotiation, Presentation, Cold Calling",None,44.2,Yes
mostly5d-a1c9-460f-b803-66317dbf1a93,Male,White,27,Master,18,Project Manager,"Python, SQL, Deep Learning",PMP,57.2,Yes
mostly40-e475-4773-a8f0-55068739b1d6,Non-binary,Asian,29,PhD,27,Software Engineer,"Cold Calling, Presentation, Negotiation",None,115.8,No
mostlybe-f5c3-48e8-8c8c-c60ef550d0fd,Female,Black,22,PhD,4,Data Scientist,_RARE_,PMP,65.9,Yes
mostly9f-96b6-4e68-8a97-f0da0659b79f,Male,White,25,Master,3,Data Scientist,"AWS, Python, C++",AWS,124.5,No
mostlyf4-be94-461f-be47-7079625d2586,Female,Hispanic,34,PhD,4,Software Engineer,"AWS, Java, Python",AWS,97.9,No
mostlyc6-2d32-46de-b2b8-3213eea087bc,Female,Hispanic,50,Master,11,Software Engineer,"Recruitment, Conflict Resolution, Leadership",PMP,53.0,No
mostly8c-9aab-45c7-9a97-13c4750b4a6c,Female,Black,32,Master,18,Sales Executive,"Agile, Leadership, Scheduling",None,91.9,No
mostly34-a111-44f6-ad38-6673b54dbe17,Male,Other,33,Master,0,Sales Executive,_RARE_,Scrum Master,90.4,No
mostly95-dd1a-48ed-8571-23df1e8d1bbe,Female,Asian,28,Bachelor,12,Sales Executive,_RARE_,None,59.3,No
mostlya9-7e90-456b-860b-b5b0a9c66b29,Male,White,25,High School,8,HR Manager,_RARE_,None,71.5,No
mostly50-4c20-4767-a61e-06947410d52e,Non-binary,White,37,Bachelor,7,Sales Executive,"C++, Java, Git",None,39.7,No
mostly6e-961d-410d-a95e-7ef0f7b67ded,Male,Black,25,High School,17,Sales Executive,"Recruitment, Conflict Resolution, HR Policies",AWS,109.0,No
mostlye8-4812-4b9e-a078-353d2098baed,Non-binary,Asian,38,PhD,11,HR Manager,_RARE_,Scrum Master,35.6,No
mostly17-b2fa-4d10-aecb-4facdf633b52,Female,Hispanic,24,Bachelor,15,Software Engineer,"Scheduling, Leadership, Scrum",AWS,58.2,Yes
mostly2f-c768-4bdc-9d98-b0f3fa20a2d0,Female,Hispanic,35,Master,8,Project Manager,"C++, Python, Java",CFA,63.5,No
mostly36-16a0-4de9-8b63-43a865e240c0,Non-binary,Hispanic,27,Bachelor,24,Project Manager,_RARE_,None,94.0,Yes
mostly9b-ca2d-4c5a-8104-b4522e6eb824,Non-binary,Hispanic,21,PhD,24,Sales Executive,"Negotiation, Presentation, Cold Calling",CFA,59.3,Yes
mostly2a-50df-4c68-b3ab-e3f0e9934031,Non-binary,Hispanic,22,Bachelor,6,Data Scientist,"Budgeting, Agile, Scheduling",PMP,77.1,No
mostly3a-c115-4125-8a2d-86134d82e1eb,Male,White,29,Master,8,Project Manager,"Leadership, Agile, Scheduling",None,65.6,No
mostly21-8ca7-4c6f-81d9-21eb97b8318d,Male,Hispanic,27,Bachelor,3,Software Engineer,_RARE_,None,33.6,No
mostly65-38df-4e22-9a6a-c023c22bb13c,Male,Hispanic,26,Bachelor,1,HR Manager,"Cold Calling, Presentation, Networking",Scrum Master,108.3,No
mostlyfa-067f-4926-a509-377a0d8b128b,Male,White,33,High School,21,Project Manager,"SQL, Deep Learning, Machine Learning",None,76.9,No
mostlye4-f032-4486-844a-89b40a80b464,Female,Asian,27,Bachelor,1,Data Scientist,"Cold Calling, Presentation, Networking",Scrum Master,103.3,No
mostly09-c12f-41f9-8216-7dae459cbcd0,Male,Hispanic,20,Master,16,Sales Executive,_RARE_,Scrum Master,81.5,No
mostly95-7b99-444e-9f02-86324d8ff1c2,Male,Asian,20,Bachelor,11,Sales Executive,"Statistics, SQL, Deep Learning",Scrum Master,70.8,No
mostly07-b289-465d-941c-88b478c12f4d,Male,White,32,PhD,5,Project Manager,_RARE_,None,118.1,No
mostlyc6-4e0e-4e37-a11e-c194cfb15247,Female,Black,38,Bachelor,12,Sales Executive,"R, Statistics, Deep Learning",None,100.3,No
mostly4b-3125-44a7-be8c-7ec48e43da22,Female,Black,35,Master,10,Sales Executive,"Cold Calling, CRM, Negotiation",AWS,120.0,No
mostly3c-52d1-4644-ac1f-c14bc5a20b31,Male,Asian,30,Bachelor,0,Sales Executive,"AWS, SQL, Git",Scrum Master,117.8,No
mostlyb3-2b64-4535-ace3-c3e6e44c578a,Male,Other,38,Bachelor,17,Software Engineer,"Machine Learning, Python, SQL",None,66.3,Yes
mostlyfb-9085-4191-9e46-a88569c2b44f,Female,Hispanic,39,High School,16,Sales Executive,"Git, SQL, Python",AWS,62.5,No
mostlybb-34f7-4ee3-beab-2c1a4ce731f3,Non-binary,Other,32,PhD,21,Data Scientist,"Budgeting, Leadership, Agile",CFA,76.6,No
mostly8d-7be8-4801-85dc-b056f401145c,Female,Asian,26,High School,0,Sales Executive,"C++, AWS, Git",None,82.1,No
mostlyd8-ebef-48e8-914f-0dfa30a305ad,Female,Hispanic,20,Master,18,Project Manager,"AWS, Git, Java",AWS,67.8,Yes
mostlye1-09ca-4381-bd3e-b8f010d0807a,Male,Black,25,Bachelor,10,Sales Executive,"Networking, CRM, Cold Calling",Scrum Master,77.1,No
mostly1e-4b2f-4d12-a00c-dc3c5c0c06c1,Male,Asian,21,Master,8,HR Manager,"SQL, Git, Python",Scrum Master,64.5,No
mostly65-e882-4fc6-afd8-0e4e5c48c387,Female,White,23,High School,8,Software Engineer,_RARE_,None,42.6,No
mostly66-214f-4f65-ae9c-b929545d1ced,Male,Hispanic,32,Bachelor,4,HR Manager,"HR Policies, Recruitment, Communication",None,81.4,No
mostly84-3780-4f6b-86b6-873994f3bd9c,Male,White,34,Bachelor,7,Sales Executive,"CRM, Negotiation, Networking",None,97.3,No
mostly4a-5a64-4582-a70c-653f7f8c1f1c,Male,Black,30,Bachelor,8,Software Engineer,"HR Policies, Communication, Conflict Resolution",None,119.9,No
mostlyb8-e342-4581-b855-5ddde651d38e,Female,White,20,Master,17,Sales Executive,_RARE_,None,69.5,No
mostly9e-2f10-442b-ad86-881c275b6e73,Non-binary,Asian,42,Master,11,Data Scientist,_RARE_,CFA,82.6,No
mostly5b-18e5-49ae-8214-5b68a85726a9,Male,White,38,PhD,16,Data Scientist,"Python, Statistics, Machine Learning",None,72.5,Yes
mostlyfd-f307-444d-a0a5-be3f4e9a7f39,Non-binary,White,32,High School,27,Software Engineer,"AWS, SQL, Git",Scrum Master,53.8,Yes
mostly85-90d6-4ab0-8b2b-298d46612f95,Male,Asian,31,Bachelor,8,Data Scientist,_RARE_,AWS,40.4,No
mostlyee-83d2-42ac-b2d1-f2fa0e564fd7,Male,Asian,29,Master,17,Data Scientist,"AWS, Git, Java",Scrum Master,42.7,No
mostlyfb-a401-4eb3-8c1a-304f25baae1c,Female,Asian,24,Bachelor,20,Data Scientist,_RARE_,AWS,67.1,No
mostly5a-bba0-42bf-a566-3697bc824c00,Male,Hispanic,27,Master,21,HR Manager,_RARE_,AWS,114.1,No
mostlyfc-6036-4cee-89bf-8dd365a619bf,Non-binary,Other,32,PhD,30,Project Manager,_RARE_,PMP,36.4,No
mostly3a-678f-4e77-a4ea-948e80de7024,Female,Black,27,Bachelor,6,Data Scientist,"AWS, Git, C++",PMP,71.0,No
mostly96-b598-4d1c-bbcd-6e7c3d809f0c,Female,White,29,Bachelor,3,Data Scientist,"Cold Calling, Presentation, Negotiation",AWS,92.1,No
mostly43-deb1-42a0-8248-9302003fcc03,Non-binary,Asian,26,PhD,24,Software Engineer,"Recruitment, HR Policies, Communication",None,61.8,No
mostly6b-4d8c-46b0-bf29-336b944c27c1,Male,Other,21,Master,16,HR Manager,_RARE_,AWS,121.0,No
mostly7e-e227-49f8-aabf-c9bc012a1639,Female,White,32,Master,12,Project Manager,"SQL, Git, Python",None,64.1,No
mostlyc3-a7c8-4407-9e45-46b72ca887d0,Female,Black,57,Bachelor,11,Sales Executive,"Negotiation, Networking, Cold Calling",CFA,125.1,No
mostlya5-938c-4731-bf98-214ac4d5e0a8,Male,Hispanic,22,Bachelor,3,Sales Executive,"Budgeting, Scheduling, Leadership",None,34.9,No
mostly61-a5f5-4fa9-82f8-1ae47ff8adc8,Male,Black,29,Master,12,Data Scientist,_RARE_,Scrum Master,57.7,No
mostly3f-8e1f-40ff-9fa8-9e252a523ff8,Male,Black,28,Master,18,Sales Executive,"Java, SQL, AWS",PMP,88.2,No
mostly71-6b6c-4df4-9816-32b75f5405a8,Female,Hispanic,36,Master,27,HR Manager,"HR Policies, Recruitment, Leadership",None,71.6,No
mostlya6-7e67-43a1-b66d-f8065c4ca161,Non-binary,Asian,41,High School,13,Data Scientist,_RARE_,None,66.9,No
mostly40-643b-4e81-bd88-0680af2cf97c,Male,Hispanic,32,Master,21,Data Scientist,"Machine Learning, SQL, Statistics",Scrum Master,42.0,No
mostly6b-b22f-4fc6-a244-f9935ba790ff,Female,White,24,Bachelor,26,Sales Executive,"Conflict Resolution, Leadership, HR Policies",None,71.0,No
mostly9d-ac97-4ec0-a64c-2da1b4ef9b6d,Non-binary,Black,34,Bachelor,14,Data Scientist,"Cold Calling, Negotiation, Presentation",None,127.7,No
mostlyca-ad32-48cb-8157-1caac348e1e1,Male,Black,27,High School,0,Sales Executive,"C++, Git, Python",None,55.5,No
mostlye8-36e7-44ce-8d7d-613919f2869f,Female,White,38,Bachelor,20,Project Manager,"Machine Learning, Statistics, Python",Scrum Master,60.5,No
mostlya9-f590-4438-9307-e7edda2f7019,Male,White,38,High School,3,Sales Executive,"Networking, CRM, Cold Calling",None,51.4,No
mostlyc8-a550-444b-99e3-91fdb91b0e9b,Female,Black,35,Master,8,HR Manager,"C++, Java, Git",AWS,123.2,No
mostly3e-4578-4cc2-9cd6-438d2c226457,Non-binary,White,20,High School,4,Software Engineer,_RARE_,CFA,85.7,No
mostly28-2c56-49cd-9b65-a4f19c145d26,Female,Black,32,Bachelor,10,Software Engineer,"Communication, HR Policies, Leadership",None,64.5,No
mostly4f-3ef4-435b-8185-3d4d620e7e34,Female,Black,34,Bachelor,18,Project Manager,"Git, Java, Python",PMP,67.6,Yes
mostly7e-7079-4f8e-9687-7db2c647a0ba,Female,White,21,Bachelor,3,HR Manager,_RARE_,AWS,89.3,No
mostly19-c454-42a2-9f29-249d8baa88a2,Male,Hispanic,36,Bachelor,20,Project Manager,"R, SQL, Deep Learning",None,91.0,No
mostlyc2-d84d-47e2-accf-1b312d73249b,Male,White,31,High School,26,Software Engineer,"Agile, Budgeting, Leadership",None,50.2,No
mostly70-fca4-4eeb-8f24-e1408c91e380,Male,Hispanic,25,PhD,9,Project Manager,_RARE_,None,39.5,No
mostly76-2e0a-4148-83ae-afea4eece4f9,Male,White,34,Bachelor,0,Software Engineer,_RARE_,AWS,116.4,No
mostlyb4-87f6-4985-b9de-fa47f3623c16,Male,Black,37,High School,20,HR Manager,_RARE_,PMP,89.7,No
mostly34-86eb-4bc6-a6fa-d2ba0d3864a7,Male,Asian,30,PhD,27,Data Scientist,_RARE_,PMP,66.5,No
mostly01-e5a0-489a-801a-6a9e47159bd4,Male,White,30,Master,21,HR Manager,_RARE_,PMP,67.5,Yes
mostly2b-c46b-4782-a472-ed6a7483faf8,Male,Black,39,PhD,17,Software Engineer,"Budgeting, Leadership, Agile",PMP,97.8,No
mostlyfe-220d-45d4-9166-f6aef60b0f83,Male,Asian,21,Bachelor,0,Sales Executive,"Networking, Presentation, Cold Calling",None,75.3,No
mostlyae-428d-40ec-8dc4-57bbd0d88af9,Non-binary,Black,37,High School,1,Software Engineer,"Recruitment, Communication, Conflict Resolution",None,104.4,No
mostly8f-c001-425e-8a0f-a0187f74f6ac,Non-binary,Asian,22,Bachelor,17,Project Manager,"Leadership, Budgeting, Agile",None,42.3,No
mostly88-6d82-45b9-8f4a-f6cca2443155,Female,Asian,28,Bachelor,0,Sales Executive,"Python, SQL, Java",None,76.1,Yes
mostly70-ce4a-4fb9-8c01-78fba56203e9,Non-binary,Black,20,High School,18,Project Manager,"Scrum, Leadership, Budgeting",None,90.1,No
mostly01-ab25-4fc2-913e-e34eef2181bd,Female,Black,20,PhD,4,Sales Executive,"Java, Git, C++",None,81.3,No
mostlye7-8a69-4384-9771-bc6cf03f9085,Male,Other,24,Bachelor,20,Sales Executive,_RARE_,PMP,37.9,No
mostlya2-b88d-40e2-b91a-a8d2def48f11,Female,White,34,Bachelor,0,Project Manager,_RARE_,None,102.3,No
mostly37-17f5-41a5-a305-930c4c1a04b2,Female,Asian,38,Master,20,HR Manager,_RARE_,None,92.1,No
mostly06-2924-4985-a7ea-89e0e0295937,Male,Other,38,Bachelor,5,HR Manager,"Python, Git, SQL",None,82.1,No
mostly97-da59-43c6-9669-0cbb0fc249c9,Female,White,25,Master,5,Data Scientist,"R, SQL, Deep Learning",AWS,111.2,No
mostlye8-576d-4684-b5eb-6d3cf85a0baf,Non-binary,Hispanic,22,Master,3,Data Scientist,_RARE_,None,106.6,No
mostlye5-93af-4739-ab7d-b90266318bd0,Male,Hispanic,27,PhD,24,Software Engineer,"Communication, Conflict Resolution, HR Policies",CFA,41.4,No
mostly05-e619-43a8-b70f-ce4674d64e95,Male,White,33,PhD,18,Software Engineer,"AWS, SQL, C++",Scrum Master,44.8,No
mostly83-d0bd-452f-8cc6-2e31c560afb3,Male,White,33,Master,5,HR Manager,"Python, Deep Learning, SQL",AWS,112.7,No
mostlydf-3e4d-47ad-aeb4-80e52c2a877d,Male,Hispanic,20,Master,8,Software Engineer,"R, Python, Statistics",None,98.0,No
mostlyd9-e719-46b5-b74e-1a8899901888,Male,Asian,22,Master,4,Project Manager,"SQL, Python, AWS",None,66.3,No
mostly61-10b6-4281-97c9-69bd69b25552,Female,Asian,43,High School,6,Software Engineer,"Recruitment, Conflict Resolution, Communication",CFA,89.9,Yes
mostlycd-08cc-4ece-b246-9529e2bea0ec,Non-binary,White,22,Master,24,Data Scientist,_RARE_,PMP,53.2,No
mostlye5-5aa4-4f9b-86d6-8e6148c2c670,Female,Hispanic,25,Bachelor,0,Sales Executive,"Deep Learning, Statistics, Python",None,74.0,No
mostly0a-8e26-4f0b-83af-54b9095ce05d,Non-binary,White,26,Bachelor,2,Sales Executive,"Leadership, Conflict Resolution, Recruitment",AWS,119.9,No
mostlyfe-bfda-4fb3-acaf-44a09530493d,Non-binary,Asian,29,Master,1,HR Manager,"Python, Statistics, Machine Learning",None,78.8,No
mostly33-44b5-42d0-be2a-daa604f549db,Female,White,24,Bachelor,5,Software Engineer,"Agile, Scrum, Leadership",None,106.3,No
mostlydf-ac57-45de-b86f-b6ad91bc4951,Female,Asian,38,PhD,17,Data Scientist,"Leadership, Conflict Resolution, HR Policies",PMP,86.2,No
mostly34-121b-4927-ba81-76c74977e332,Male,White,34,Bachelor,14,Sales Executive,"Python, SQL, Java",Scrum Master,64.4,No
mostlyd7-93c9-4332-b972-750097a6ba94,Non-binary,White,34,Bachelor,15,Project Manager,"Recruitment, Leadership, HR Policies",None,32.4,No
mostlyb8-001c-4d11-98e1-dcc83e8e6890,Female,White,46,Bachelor,4,Project Manager,"Agile, Scrum, Budgeting",None,121.2,No
mostlyaf-24ae-4885-9a51-fbb70df8a27d,Female,Asian,30,Bachelor,8,HR Manager,_RARE_,AWS,89.7,No
mostly13-ad23-47c8-ac92-849fc2a4b1c6,Non-binary,White,24,Bachelor,0,Project Manager,"Deep Learning, SQL, Python",None,90.5,Yes
mostly75-94af-4326-b5cf-5cb7dfb37e35,Female,White,22,Bachelor,4,Data Scientist,"Recruitment, Conflict Resolution, Leadership",None,74.1,Yes
mostlyfa-e327-4afc-a86e-3c0b4ddd73b7,Male,White,38,Bachelor,30,Project Manager,"Machine Learning, Python, Statistics",None,78.3,No
mostly89-663a-4cdc-bf7e-3f225b464b2e,Non-binary,Hispanic,52,Master,6,Software Engineer,"AWS, Git, C++",None,61.9,Yes
mostlydd-2003-4213-a306-da50c73b1e9c,Male,White,29,Master,6,Software Engineer,"Machine Learning, SQL, Statistics",None,58.7,Yes
mostly29-71de-4e38-ac5e-3bdc13e22024,Male,Black,28,Bachelor,14,HR Manager,_RARE_,Scrum Master,114.3,No
mostly55-312c-4004-ae81-b78d8d544301,Non-binary,Black,21,PhD,11,HR Manager,"Presentation, CRM, Negotiation",None,104.7,No
mostly02-d862-43b4-a424-d5a7eafe583f,Male,Black,38,Bachelor,3,Project Manager,"Negotiation, Networking, Cold Calling",AWS,40.3,No
mostly16-1860-4c42-bb24-47c7bf66dd8f,Male,Other,25,Bachelor,8,Project Manager,"Git, AWS, SQL",None,86.6,Yes
mostly91-0f18-4552-a51d-1cff6d29767b,Female,Asian,36,Master,3,Project Manager,_RARE_,Scrum Master,59.1,No
mostlya1-8431-454e-a0ff-badb5e66c5c6,Female,White,22,PhD,18,Project Manager,"Python, R, Deep Learning",None,64.1,No
mostly63-7795-40c0-b598-95fc547626e6,Female,White,22,High School,14,Sales Executive,"Python, Machine Learning, R",None,67.7,No
mostly02-14b9-4b6b-a888-34ab9490e118,Male,Black,22,Bachelor,16,Sales Executive,_RARE_,None,71.6,No
mostlyb5-052a-451b-a817-f512b5ce505b,Female,White,33,Bachelor,21,HR Manager,"Machine Learning, R, Deep Learning",PMP,40.0,No
mostly66-c1ef-4c97-850a-e022156f774e,Female,Asian,33,Master,7,Sales Executive,"AWS, SQL, Python",None,106.9,No
mostly51-c608-42ee-84f7-2e3bbf0448e3,Female,Hispanic,30,Bachelor,3,Sales Executive,"Java, Python, Git",AWS,68.6,No
mostlybb-d137-4347-8d8a-ad3435b08685,Non-binary,Asian,20,Master,17,Software Engineer,_RARE_,PMP,60.9,No
mostlyb9-2dcc-492d-8e77-5cea6f5d1565,Male,Asian,26,Master,15,Software Engineer,_RARE_,None,86.9,Yes
mostly3f-0ebf-4e5f-943e-320db2895375,Male,White,27,Master,21,Data Scientist,"Scrum, Scheduling, Budgeting",None,61.5,No
mostly2a-815b-49c8-9071-b755442dd26c,Non-binary,Hispanic,21,High School,6,Project Manager,"Scheduling, Agile, Leadership",None,78.6,Yes
mostly31-a7e3-439f-b1ef-b48ecf576ba8,Male,Black,31,Master,18,Software Engineer,"Statistics, Deep Learning, Python",Scrum Master,69.5,No
mostly89-4beb-4a4a-a479-f429eedb23cb,Male,Hispanic,22,High School,7,Software Engineer,"Python, Git, SQL",None,67.1,No
mostly6c-2aae-41fa-84f7-f5f09c2fcc95,Male,Other,20,Bachelor,20,HR Manager,"Negotiation, Cold Calling, Networking",None,37.1,No
mostly81-7f75-41a0-a6af-3fb365d3da65,Female,Asian,34,Bachelor,5,Data Scientist,"Cold Calling, Negotiation, Presentation",PMP,115.2,No
